"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"1",2009,760505847,2.37e+08,"Action","Adventure","Fantasy","Sci-Fi",NA,NA
"2",2007,309404152,3e+08,"Action","Adventure","Fantasy",NA,NA,NA
"3",2015,200074175,2.45e+08,"Action","Adventure","Thriller",NA,NA,NA
"4",2012,448130642,2.5e+08,"Action","Thriller",NA,NA,NA,NA
"5",2012,73058679,263700000,"Documentary",NA,NA,NA,NA,NA
"6",2007,336530303,2.58e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"7",2010,200807262,2.6e+08,"Action","Adventure","Romance",NA,NA,NA
"8",2015,458991599,2.5e+08,"Adventure","Animation","Comedy","Family","Fantasy","Musical"
"9",2009,301956980,2.5e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"10",2016,330249062,2.5e+08,"Adventure","Family","Fantasy","Mystery",NA,NA
"11",2006,200069408,2.09e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"12",2008,168368427,2e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"13",2006,423032628,2.25e+08,"Action","Adventure",NA,NA,NA,NA
"14",2013,89289910,2.15e+08,"Action","Adventure","Fantasy",NA,NA,NA
"15",2013,291021565,2.25e+08,"Action","Adventure","Western",NA,NA,NA
"16",2008,141614023,2.25e+08,"Action","Adventure","Fantasy","Sci-Fi",NA,NA
"17",2012,623279547,2.2e+08,"Action","Adventure","Family","Fantasy",NA,NA
"18",2011,241063875,2.5e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"19",2012,179020854,2.25e+08,"Action","Adventure","Fantasy",NA,NA,NA
"20",2014,255108370,2.5e+08,"Action","Adventure","Comedy","Family","Fantasy","Sci-Fi"
"21",2012,262030663,2.3e+08,"Adventure","Fantasy",NA,NA,NA,NA
"22",2010,105219735,2e+08,"Action","Adventure","Fantasy",NA,NA,NA
"23",2013,258355354,2.25e+08,"Action","Adventure","Drama","History",NA,NA
"24",2007,70083519,1.8e+08,"Adventure","Fantasy",NA,NA,NA,NA
"25",2005,218051260,2.07e+08,"Adventure","Family","Fantasy",NA,NA,NA
"26",1997,658672302,2e+08,"Action","Adventure","Drama","Romance",NA,NA
"27",2016,407197282,2.5e+08,"Drama","Romance",NA,NA,NA,NA
"28",2012,65173160,2.09e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"29",2015,652177271,1.5e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
